Skupaj,159,1648,5350
Ajdovščina,3,7,25
Ankaran,0,0,3
Apače,0,3,3
Beltinci,1,3,7
Benedikt,0,3,5
Bistrica ob Sotli,0,0,4
Bled,2,5,12
Bloke,0,0,4
Bohinj,0,3,3
Borovnica,0,2,8
Bovec,0,2,3
Braslovče,0,14,40
Brezovica,1,10,33
Brežice,0,3,17
Cankova,0,1,2
Celje,3,38,121
Cerklje na Gorenjskem,0,2,5
Cerknica,0,6,26
Cerkno,0,1,3
Cerkvenjak,0,2,5
Cirkulane,0,1,4
Črenšovci,0,0,11
Črna na Koroškem,1,31,38
Črnomelj,0,1,24
Destrnik,0,0,4
Divača,1,10,10
Dobje,0,0,1
Dobrepolje,0,2,4
Dobrna,0,0,6
Dobrova - Polhov Gradec,0,2,12
Dobrovnik/Dobronak,0,3,4
Dol pri Ljubljani,2,4,7
Dolenjske Toplice,0,0,6
Domžale,2,41,91
Dornava,2,7,8
Dravograd,0,10,53
Duplek,2,9,12
Gorenja vas - Poljane,0,5,6
Gorišnica,0,0,1
Gorje,2,5,10
Gornja Radgona,1,9,17
Gornji Petrovci,0,0,1
Grad,0,0,2
Grosuplje,0,13,39
Hajdina,3,7,10
Hoče - Slivnica,2,7,17
Horjul,0,1,31
Hrastnik,0,7,96
Hrpelje - Kozina,0,5,10
Idrija,0,1,13
Ig,3,9,30
Ilirska Bistrica,0,29,58
Ivančna Gorica,0,6,18
Izola/Isola,0,4,10
Jesenice,1,10,38
Kamnik,2,28,81
Kanal,1,1,3
Kidričevo,0,3,7
Kobarid,0,0,1
Kobilje,0,0,3
Kočevje,0,7,20
Komen,0,3,3
Komenda,1,1,11
Koper/Capodistria,0,2,53
Kostanjevica na Krki,0,1,4
Kostel,0,1,1
Kozje,0,2,4
Kranj,4,52,137
Kranjska Gora,0,4,8
Križevci,0,1,4
Krško,0,5,28
Kungota,1,3,9
Kuzma,0,0,3
Laško,2,3,13
Lenart,0,7,23
Lendava/Lendva,1,10,37
Litija,3,20,51
Ljubljana,19,353,1024
Ljubno,0,0,8
Ljutomer,0,2,141
Log - Dragomer,1,20,26
Logatec,0,3,13
Loška dolina,0,0,5
Lovrenc na Pohorju,0,8,15
Lukovica,0,6,19
Majšperk,2,5,9
Makole,1,1,2
Maribor,18,113,273
Markovci,2,11,12
Medvode,2,19,40
Mengeš,0,3,17
Metlika,0,1,84
Mežica,3,9,10
Miklavž na Dravskem polju,0,2,12
Miren - Kostanjevica,0,2,3
Mirna,0,1,4
Mirna Peč,0,0,6
Mislinja,0,0,4
Mokronog - Trebelno,0,1,4
Moravče,0,1,7
Moravske Toplice,1,2,5
Mozirje,0,3,12
Murska Sobota,1,6,34
Muta,0,4,7
Naklo,0,4,13
Nazarje,0,0,2
Nova Gorica,1,12,37
Novo mesto,1,10,61
Odranci,0,0,5
Oplotnica,1,3,10
Ormož,0,4,14
Pesnica,0,7,14
Piran/Pirano,0,4,23
Pivka,0,31,62
Podčetrtek,1,4,8
Podlehnik,0,1,2
Podvelka,0,1,4
Poljčane,0,1,7
Polzela,0,2,11
Postojna,0,17,48
Prebold,0,8,16
Preddvor,0,4,11
Prevalje,4,8,18
Ptuj,4,12,26
Puconci,0,3,16
Rače - Fram,2,6,13
Radeče,0,0,3
Radenci,0,1,5
Radlje ob Dravi,1,3,5
Radovljica,2,15,34
Ravne na Koroškem,3,15,41
Razkrižje,0,0,1
Rečica ob Savinji,0,1,7
Renče - Vogrsko,0,1,4
Ribnica,0,2,26
Ribnica na  Pohorju,0,1,3
Rogaška Slatina,2,28,104
Rogatec,0,4,23
Ruše,1,8,17
Selnica ob Dravi,0,4,6
Semič,0,0,12
Sevnica,1,10,36
Sežana,0,1,12
Slovenj Gradec,5,23,56
Slovenska Bistrica,4,29,75
Slovenske Konjice,1,36,45
Sodražica,0,1,8
Središče ob Dravi,0,1,1
Starše,1,5,15
Straža,0,0,1
Sveta Ana,0,3,14
Sveta Trojica v Slov. goricah,2,2,3
Sveti Jurij ob Ščavnici,0,0,3
Sveti Tomaž,0,0,1
Šalovci,0,0,1
Šempeter - Vrtojba,0,1,4
Šenčur,0,6,24
Šentilj,0,5,18
Šentjernej,0,0,5
Šentjur,4,23,76
Šentrupert,0,0,9
Škocjan,0,1,3
Škofja Loka,3,13,38
Škofljica,2,11,37
Šmarje pri Jelšah,0,8,194
Šmarješke Toplice,0,0,8
Šmartno ob Paki,0,2,4
Šmartno pri Litiji,0,2,8
Šoštanj,0,4,13
Štore,0,1,8
Tabor,0,4,14
Tišina,0,2,12
Tolmin,2,5,10
Trbovlje,3,15,38
Trebnje,0,4,34
Trnovska vas,0,0,2
Trzin,0,4,7
Tržič,2,9,36
TUJINA,1,14,72
Turnišče,1,2,11
Velenje,0,11,68
Velika Polana,0,0,4
Velike Lašče,0,3,33
Veržej,0,0,7
Videm,0,2,7
Vipava,0,1,26
Vitanje,0,7,9
Vodice,2,8,20
Vojnik,0,10,21
Vransko,0,4,5
Vrhnika,0,10,19
Vuzenica,1,5,12
Zagorje ob Savi,2,8,23
Zavrč,0,1,2
Zreče,2,18,26
Žalec,0,9,41
Železniki,0,3,5
Žetale,0,0,3
Žiri,0,0,3
Žirovnica,0,2,12
Žužemberk,0,0,5
