"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",928,487,394,47,23,0,8013
"Aomori","青森県",27,10,17,"不明","不明",10,728
"Iwate","岩手県",0,0,0,0,0,0,397
"Miyagi","宮城県",88,13,75,0,"不明",0,2183
"Akita","秋田県",16,16,0,"不明","不明",16,861
"Yamagata","山形県",69,13,56,"不明","不明",0,2401
"Fukushima","福島県",81,38,43,0,"不明",0,2237
"Ibaraki","茨城県",168,81,78,9,3,10,3826
"Tochigi","栃木県",54,29,25,"不明","不明",29,2287
"Gunma","群馬県",147,74,55,18,"不明",0,2930
"Saitama","埼玉県",946,391,514,41,10,0,11394
"Chiba","千葉県",876,415,423,38,14,178,11882
"Tokyo","東京都",4810,2503,2136,171,78,0,12990
"Kanagawa","神奈川県",1150,458,645,47,34,41,1947
"Niigata","新潟県",82,36,46,"不明","不明",0,3345
"Toyama","富山県",216,126,77,13,"不明",0,2664
"Ishikawa","石川県",275,132,127,16,"不明",0,2175
"Fukui","福井県",122,25,89,8,3,0,1991
"Yamanashi","山梨県",56,8,48,0,1,0,2806
"Nagano","長野県",74,37,37,"不明",2,0,2054
"Gifu","岐阜県",150,30,114,6,1,0,3404
"Shizuoka","静岡県",73,26,46,1,2,0,3036
"Aichi","愛知県",491,129,328,34,5,3,7958
"Mie","三重県",45,14,30,1,0,0,2093
"Shiga","滋賀県",97,36,60,1,1,0,1419
"Kyoto","京都府",347,107,227,13,"不明",0,5267
"Osaka","大阪府",1716,679,978,59,58,4,20263
"Hyogo","兵庫県",681,195,454,32,24,1,8654
"Nara","奈良県",89,25,62,2,"不明",0,2035
"Wakayama","和歌山県",62,14,46,2,"不明",0,3310
"Tottori","鳥取県",3,2,1,0,"不明",0,1142
"Shimane","島根県",24,14,10,"不明","不明",14,888
"Okayama","岡山県",23,8,15,"不明","不明",0,1321
"Hiroshima","広島県",165,102,61,2,"不明",0,5746
"Yamaguchi","山口県",37,4,33,"不明","不明",0,1498
"Tokushima","徳島県",5,2,3,"不明","不明",2,569
"Kagawa","香川県",28,15,13,0,0,0,1787
"Ehime","愛媛県",48,7,38,3,2,0,1238
"Kochi","高知県",74,10,61,3,0,0,1529
"Fukuoka","福岡県",651,184,443,24,"不明",0,10246
"Saga","佐賀県",45,25,20,0,2,2,1209
"Nagasaki","長崎県",17,2,14,1,0,0,2878
"Kumamoto","熊本県",48,29,17,2,3,0,3375
"Oita","大分県",60,8,51,1,"不明",9,3382
"Miyazaki","宮崎県",17,6,11,"不明","不明",0,1213
"Kagoshima","鹿児島県",11,4,7,"不明","不明",4,1446
"Okinawa","沖縄県",142,55,82,5,"不明",0,2403
