"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",208,53,146,9
"Aomori","青森県",12,12,0,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",34,33,1,0
"Akita","秋田県",11,9,2,0
"Yamagata","山形県",22,22,0,0
"Fukushima","福島県",29,28,1,0
"Ibaraki","茨城県",77,71,4,2
"Tochigi","栃木県",21,16,5,0
"Gunma","群馬県",29,26,2,1
"Saitama","埼玉県",242,215,23,4
"Chiba","千葉県",317,284,32,1
"Tokyo","東京都",1347,1272,57,18
"Kanagawa","神奈川県",327,284,37,6
"Niigata","新潟県",37,19,18,0
"Toyama","富山県",14,14,0,0
"Ishikawa","石川県",66,61,5,0
"Fukui","福井県",67,64,1,2
"Yamanashi","山梨県",22,20,2,0
"Nagano","長野県",19,16,3,0
"Gifu","岐阜県",69,65,3,1
"Shizuoka","静岡県",15,12,3,0
"Aichi","愛知県",278,205,52,21
"Mie","三重県",13,8,5,0
"Shiga","滋賀県",24,21,3,0
"Kyoto","京都府",149,126,23,0
"Osaka","大阪府",525,403,116,6
"Hyogo","兵庫県",216,151,53,12
"Nara","奈良県",30,22,8,0
"Wakayama","和歌山県",29,13,15,1
"Tottori","鳥取県",0,0,0,0
"Shimane","島根県",0,0,0,0
"Okayama","岡山県",15,15,0,0
"Hiroshima","広島県",23,22,1,0
"Yamaguchi","山口県",17,14,3,0
"Tokushima","徳島県",3,2,1,0
"Kagawa","香川県",3,3,0,0
"Ehime","愛媛県",25,20,4,1
"Kochi","高知県",37,25,12,0
"Fukuoka","福岡県",161,154,7,0
"Saga","佐賀県",11,10,1,0
"Nagasaki","長崎県",12,10,2,0
"Kumamoto","熊本県",23,20,3,0
"Oita","大分県",41,33,8,0
"Miyazaki","宮崎県",12,9,3,0
"Kagoshima","鹿児島県",3,3,0,0
"Okinawa","沖縄県",32,29,3,0
