"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",983,394,519,70,18,0,9690
"Aomori","青森県",27,6,21,0,0,0,784
"Iwate","岩手県",0,0,0,0,0,0,457
"Miyagi","宮城県",88,5,82,1,0,0,2428
"Akita","秋田県",16,1,15,0,0,0,899
"Yamagata","山形県",69,11,58,0,2,0,2525
"Fukushima","福島県",81,23,58,0,2,0,2802
"Ibaraki","茨城県",168,61,98,9,2,17,4145
"Tochigi","栃木県",57,18,39,0,5,0,2642
"Gunma","群馬県",147,47,82,18,1,0,3188
"Saitama","埼玉県",977,241,691,45,8,0,14908
"Chiba","千葉県",888,244,604,40,13,0,11966
"Tokyo","東京都",5027,1583,3232,212,54,0,13799
"Kanagawa","神奈川県",1236,366,808,62,34,0,2604
"Niigata","新潟県",82,31,51,0,0,1,3605
"Toyama","富山県",224,80,126,18,2,0,2915
"Ishikawa","石川県",284,105,159,20,3,0,2426
"Fukui","福井県",122,16,98,8,2,0,2207
"Yamanashi","山梨県",57,6,51,0,1,0,3162
"Nagano","長野県",76,25,51,"-",2,0,2285
"Gifu","岐阜県",150,11,132,7,1,0,2990
"Shizuoka","静岡県",73,11,61,1,2,0,3237
"Aichi","愛知県",501,79,388,34,4,4,8773
"Mie","三重県",45,8,36,1,0,0,2219
"Shiga","滋賀県",97,19,77,1,1,0,1529
"Kyoto","京都府",357,67,277,13,1,0,6032
"Osaka","大阪府",1765,474,1228,63,43,12,18416
"Hyogo","兵庫県",697,121,539,37,18,0,9653
"Nara","奈良県",90,14,74,2,0,0,2383
"Wakayama","和歌山県",63,8,52,3,0,0,3450
"Tottori","鳥取県",3,2,1,0,0,0,1213
"Shimane","島根県",24,9,15,0,1,0,957
"Okayama","岡山県",25,4,21,"-","-",0,1466
"Hiroshima","広島県",165,56,107,2,1,0,6250
"Yamaguchi","山口県",37,4,33,0,1,0,1585
"Tokushima","徳島県",5,0,4,1,0,0,635
"Kagawa","香川県",28,2,26,0,0,0,1907
"Ehime","愛媛県",68,25,40,3,0,0,1393
"Kochi","高知県",74,5,66,3,0,0,1624
"Fukuoka","福岡県",657,122,510,25,10,1,12119
"Saga","佐賀県",46,19,27,0,0,2,1285
"Nagasaki","長崎県",17,1,15,1,0,0,2477
"Kumamoto","熊本県",48,14,31,3,1,0,3623
"Oita","大分県",60,4,55,1,0,1,3590
"Miyazaki","宮崎県",17,5,12,0,0,0,1278
"Kagoshima","鹿児島県",10,3,7,0,0,0,1536
"Okinawa","沖縄県",142,21,115,6,4,0,2643
